FECHA_PROCESO,RUC_PROVEEDOR,PROVEEDOR,RUC_ENTIDAD,ENTIDAD,ORDEN_ELECTRÓNICA,ORDEN_ELECTRÓNICA_GENERADA,ESTADO_ORDEN_ELECTRÓNICA,FECHA_ÚLTIMO_ESTADO,TOTAL,ORDEN_PUBLICADA,ACUERDO_MARCO
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20131370301,MINISTERIO PUBLICO,ORDEN_DE_SERVICIO-1014-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46631,ENTREGADA C/CONFORMIDAD RETRASADA,5/03/2022,397.18,,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20504774288,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,ORDEN_DE_SERVICIO-1015-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46632,PAGADA,17/03/2022,1101.28,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46632.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20504743307,"MINISTERIO DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO - ADMINISTRACIÓN GENERAL",ORDEN_DE_SERVICIO-1016-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46633,PAGADA,15/03/2022,994.58,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46633.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20178922581,FONDO DE ASEGURAMIENTO EN SALUD DE LA POLICIA NACIONAL DEL PERU,ORDEN_DE_SERVICIO-1017-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46634,PAGADA,25/03/2022,6767.98,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46634.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20131379944,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,ORDEN_DE_SERVICIO-1018-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46635,CONFORME C/PAGO RETRASADO,12/04/2022,1381.84,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46635.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20537630222,MINISTERIO DE CULTURA,ORDEN_DE_SERVICIO-1019-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46636,PAGADA,16/03/2022,1127.71,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46636.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20100010721,AERO TRANSPORTE S A,20131257750,SEGURO SOCIAL DE SALUD,ORDEN_DE_SERVICIO-1020-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46637,ENTREGADA C/CONFORMIDAD RETRASADA,5/03/2022,1325.54,,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20342868844,STAR UP S.A.,20336951527,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES- ADMINISTRACIÓN GENERAL,ORDEN_DE_SERVICIO-1021-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46638,CONFORME C/PAGO RETRASADO,7/04/2022,1033.45,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46638.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20342868844,STAR UP S.A.,20153408191,MARINA DE GUERRA DEL PERU,ORDEN_DE_SERVICIO-1022-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46639,PAGADA,28/04/2022,2283.94,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46639.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
12/05/2022 15:58,20342868844,STAR UP S.A.,20600579895,"UNIDAD EJECUTORA 001631: ""GESTION DE PROYECTOS SECTORIALES""",ORDEN_DE_SERVICIO-1024-2022,https://www.catalogos.perucompras.gob.pe/ConsultaOrdenesPub/exportOrdenServicioBA?N_OrdenServicio=46641,CONFORME C/PAGO RETRASADO,31/03/2022,1470.04,https://saeusceprod01.blob.core.windows.net/contproveedor/Documentos/FormatoBoletos/Ordenes/46641.pdf,IM-CE-2020-15 EMISÓN DE BOLETOS AÉREOS
